source,target,width,length,color,title
오류,수리,2.827690839767456,143.44618320465088,#4444ff,오류 ↔ 수리<br>유사도: 0.283
오류,반품,2.97521710395813,140.4956579208374,#4444ff,오류 ↔ 반품<br>유사도: 0.298
오류,상품,2.009182721376419,159.81634557247162,#4444ff,오류 ↔ 상품<br>유사도: 0.201
오류,제품,2.3668791353702545,152.6624172925949,#4444ff,오류 ↔ 제품<br>유사도: 0.237
오류,실망,2.856301963329315,142.8739607334137,#4444ff,오류 ↔ 실망<br>유사도: 0.286
오류,불편,3.819069266319275,123.6186146736145,#4444ff,오류 ↔ 불편<br>유사도: 0.382
손상,환불,3.575268387794494,128.4946322441101,#4444ff,손상 ↔ 환불<br>유사도: 0.358
손상,교환,4.443341493606567,111.13317012786864,#4444ff,손상 ↔ 교환<br>유사도: 0.444
손상,수리,4.784137308597565,104.3172538280487,#4444ff,손상 ↔ 수리<br>유사도: 0.478
손상,반품,3.402654528617859,131.94690942764282,#4444ff,손상 ↔ 반품<br>유사도: 0.340
손상,상품,5.423805117607117,91.52389764785768,#ffaa44,손상 ↔ 상품<br>유사도: 0.542
손상,제품,4.66352105140686,106.7295789718628,#4444ff,손상 ↔ 제품<br>유사도: 0.466
손상,실망,2.282696217298508,154.34607565402985,#4444ff,손상 ↔ 실망<br>유사도: 0.228
손상,불편,2.2081920504570007,155.83615899086,#4444ff,손상 ↔ 불편<br>유사도: 0.221
환불,교환,2.8901928663253784,142.19614267349243,#4444ff,환불 ↔ 교환<br>유사도: 0.289
환불,수리,3.633586764335632,127.32826471328735,#4444ff,환불 ↔ 수리<br>유사도: 0.363
환불,반품,3.295081853866577,134.09836292266846,#4444ff,환불 ↔ 반품<br>유사도: 0.330
환불,상품,3.007149994373321,139.85700011253357,#4444ff,환불 ↔ 상품<br>유사도: 0.301
환불,제품,5.367224812507629,92.6555037498474,#ffaa44,환불 ↔ 제품<br>유사도: 0.537
환불,실망,2.289425730705261,154.21148538589478,#4444ff,환불 ↔ 실망<br>유사도: 0.229
교환,수리,4.725673198699951,105.48653602600098,#4444ff,교환 ↔ 수리<br>유사도: 0.473
교환,반품,3.19112241268158,136.1775517463684,#4444ff,교환 ↔ 반품<br>유사도: 0.319
교환,상품,4.320437014102936,113.59125971794128,#4444ff,교환 ↔ 상품<br>유사도: 0.432
교환,제품,4.985661506652832,100.28676986694336,#4444ff,교환 ↔ 제품<br>유사도: 0.499
교환,실망,3.569749891757965,128.6050021648407,#4444ff,교환 ↔ 실망<br>유사도: 0.357
교환,불편,3.73784065246582,125.2431869506836,#4444ff,교환 ↔ 불편<br>유사도: 0.374
수리,반품,2.492730170488357,150.14539659023285,#4444ff,수리 ↔ 반품<br>유사도: 0.249
수리,상품,3.381243348121643,132.37513303756714,#4444ff,수리 ↔ 상품<br>유사도: 0.338
수리,제품,3.90383243560791,121.9233512878418,#4444ff,수리 ↔ 제품<br>유사도: 0.390
수리,실망,4.424722492694855,111.5055501461029,#4444ff,수리 ↔ 실망<br>유사도: 0.442
수리,불편,3.753545880317688,124.92908239364624,#4444ff,수리 ↔ 불편<br>유사도: 0.375
반품,상품,4.768120050430298,104.63759899139404,#4444ff,반품 ↔ 상품<br>유사도: 0.477
반품,제품,4.667999446392059,106.6400110721588,#4444ff,반품 ↔ 제품<br>유사도: 0.467
반품,실망,3.176459670066833,136.47080659866333,#4444ff,반품 ↔ 실망<br>유사도: 0.318
상품,제품,5.066552758216858,98.66894483566284,#ffaa44,상품 ↔ 제품<br>유사도: 0.507
상품,실망,3.837401270866394,123.25197458267212,#4444ff,상품 ↔ 실망<br>유사도: 0.384
상품,불편,2.661980986595154,146.76038026809692,#4444ff,상품 ↔ 불편<br>유사도: 0.266
제품,실망,3.500887155532837,129.98225688934326,#4444ff,제품 ↔ 실망<br>유사도: 0.350
제품,불편,3.4726956486701965,130.54608702659607,#4444ff,제품 ↔ 불편<br>유사도: 0.347
실망,불편,2.774318754673004,144.51362490653992,#4444ff,실망 ↔ 불편<br>유사도: 0.277
